"sampleid","investigation","sample_type","disease_type","platform","experimental_strategy","data_submitting_center_label"
"s4164","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4136","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4151","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4154","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4208","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4124","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s4162","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4125","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s4188","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4213","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4195","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4177","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4131","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4129","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4171","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4146","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4230","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4194","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4196","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4232","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4201","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4206","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4155","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4180","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4141","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4134","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4210","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4197","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4128","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4229","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4150","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4185","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4203","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4179","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4149","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4172","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4211","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4202","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4126","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4147","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4207","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4157","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4160","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4137","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4143","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4140","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4166","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4142","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4190","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4199","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4227","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4123","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s4200","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4152","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4215","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4161","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4156","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4223","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4158","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4153","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4139","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4159","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4217","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4148","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4181","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4138","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s4222","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s4175","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3833","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3906","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3897","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3893","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3894","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3772","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3837","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3848","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3877","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3826","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3868","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3790","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3874","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3842","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3793","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3916","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3885","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3881","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3769","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3875","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3878","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3817","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3809","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3784","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3913","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3808","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3904","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3852","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3843","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3771","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3896","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3788","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3839","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3853","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3907","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3883","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3811","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3776","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3785","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3864","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3892","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3849","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3812","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3796","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3823","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3794","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3767","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3871","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3889","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3789","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3840","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3820","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3797","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3873","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3813","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3822","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3798","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3854","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3866","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3901","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3763","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3895","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3770","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3908","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3855","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3810","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3847","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3814","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3870","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3903","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3899","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3792","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3841","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3863","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3836","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3760","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3757","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3795","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3764","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3888","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3834","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3787","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3898","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3828","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3775","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3835","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3799","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3804","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3876","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3801","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3851","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3856","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3902","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3821","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3886","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3850","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3910","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3920","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3869","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3783","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3846","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3905","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3774","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3762","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3918","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3825","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3802","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3766","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3917","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3909","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3827","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3862","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3879","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3761","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3857","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3891","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3887","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3818","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3806","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3845","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3911","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3858","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3912","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3859","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3803","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3882","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3781","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3805","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3791","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3773","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3786","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3915","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3815","TCGA-PRAD","Blood Derived Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3914","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3861","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3838","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3900","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3872","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3765","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3759","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Broad Institute of MIT and Harvard"
"s3777","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3844","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3778","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
"s3819","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3884","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3824","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3890","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3865","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3860","TCGA-PRAD","Solid Tissue Normal","Prostate Adenocarcinoma","Illumina HiSeq","RNA-Seq","University of North Carolina"
"s3807","TCGA-PRAD","Primary Tumor","Prostate Adenocarcinoma","Illumina HiSeq","WGS","Harvard Medical School"
